3 1962
6.802755 -0.613407 0.787370
6.685467 -0.690284 0.499768
6.568178 0.131356 1.531653
5.160711 0.130888 -0.326980
5.160711 0.080336 -0.943392
5.160711 0.462055 -1.143707
5.160711 0.736425 -1.837145
5.278000 0.883441 -1.594406
5.278000 0.431205 -0.643933
6.450889 -1.461943 0.490445
6.568178 -0.933344 0.764755
6.685467 -0.150792 0.336370
6.450889 -0.655604 0.738011
6.333600 -0.828090 0.547293
6.333600 -0.763123 -0.321238
5.747156 -0.526405 -0.503745
4.222400 1.740833 0.059057
4.222400 1.694827 0.346743
4.222400 1.840094 0.799248
4.222400 0.914095 -0.632010
4.339689 0.751093 -0.311447
4.926133 0.101721 -0.436719
4.339689 0.909311 0.486669
6.920044 -1.011148 0.747801
6.450889 -1.147951 -0.198187
6.216311 -0.453442 -0.496647
5.278000 -0.074239 -1.354222
5.278000 -0.074611 -0.953795
4.574267 0.477788 -0.083190
4.808844 0.796556 0.029058
5.278000 0.695986 -0.963855
5.864444 -1.031470 -0.281916
6.568178 -0.988308 0.314859
6.450889 -1.021179 0.206859
6.920044 0.221651 0.121097
4.105111 0.705759 1.079436
5.278000 -0.307852 -1.531964
5.512578 -1.016832 -0.250539
5.512578 -0.098857 -0.948982
5.278000 -0.205958 -1.122088
5.278000 -0.071633 -0.731739
5.278000 0.315945 -0.497988
5.160711 0.678199 -1.087543
4.808844 0.648474 -0.829312
4.808844 0.684103 -0.692984
4.926133 -0.104641 -0.018501
5.278000 0.249540 -1.377835
5.278000 0.012269 -1.194578
5.278000 -0.427019 -0.595591
5.278000 -0.120635 -1.603746
5.278000 -0.214982 -0.985566
6.802755 -0.919086 0.898535
5.278000 0.206997 -1.044501
5.278000 0.008920 -1.414759
5.278000 0.271204 -1.237213
4.456978 0.799164 -0.864331
6.920044 -0.133579 0.232215
6.920044 -0.386290 0.073064
5.512578 -0.104163 -1.016468
5.512578 -0.234844 -1.403881
5.278000 -0.093881 -1.338594
5.278000 0.267210 -1.428809
5.278000 0.305466 -1.599302
5.278000 -0.251024 -1.323296
5.278000 0.336391 -1.430640
5.160711 0.106017 -0.744949
4.105111 0.781935 1.037403
5.160711 0.396423 -0.402352
6.333600 -0.714584 0.159088
6.568178 -0.798507 0.007386
6.802755 -0.969975 0.322856
6.920044 -0.383702 0.571436
4.456978 -0.110731 -0.937951
7.037333 -1.049488 1.563187
6.920044 -1.251676 1.032844
6.920044 -1.265224 1.028026
6.802755 -1.000381 0.910403
6.685467 -0.649236 0.740658
6.920044 -0.320455 1.003318
7.037333 -1.175250 0.419846
6.920044 -0.640453 0.607686
7.037333 -0.086093 0.148992
7.037333 -0.619402 1.618018
6.920044 -0.312616 0.943427
6.920044 -0.573985 0.347756
6.802755 -0.770539 0.291037
4.926133 1.907898 -0.907015
4.574267 2.068982 -1.034558
4.691556 0.430446 -0.736888
5.395289 -0.164089 -1.323271
5.864444 -0.951601 -0.674502
6.920044 -0.157378 1.777737
6.920044 -1.544618 1.452143
6.450889 -1.125294 0.570206
6.568178 -0.676130 0.423397
6.450889 -1.490540 0.997435
6.450889 -1.315250 0.465104
5.747156 0.138967 0.147624
5.864444 0.461725 -0.218660
5.864444 -0.283745 -0.219177
6.685467 -0.152637 0.353804
6.685467 -0.900615 0.525033
6.802755 -0.930954 0.691351
6.802755 -1.187013 0.414263
7.037333 -0.763594 1.184659
7.037333 -0.721312 1.076010
7.037333 -0.610070 2.040659
6.568178 -0.377605 -0.027689
6.333600 -0.133488 0.645484
5.512578 -0.739155 0.355553
5.395289 -0.502714 -0.288111
5.512578 -0.860385 -0.230024
7.037333 -0.644493 0.467201
7.037333 -0.821495 0.439049
6.920044 -0.327066 1.025053
6.920044 -0.966317 1.275151
6.920044 -0.464784 0.771283
6.920044 -0.298031 0.931123
7.037333 -0.373919 1.034402
7.037333 -0.487907 0.898454
6.920044 -0.477184 1.058545
6.920044 -0.322233 1.337874
5.395289 -0.319407 -0.662785
6.450889 -0.390815 -0.265641
6.568178 -0.995548 0.330377
6.920044 -0.337651 0.273378
6.920044 -0.297689 1.147471
5.278000 -0.409108 -0.063454
5.278000 -0.203257 -0.961070
5.278000 -0.791959 -0.813363
5.864444 -0.829109 -0.526599
4.926133 0.605295 -0.393279
5.160711 0.692688 -0.526456
4.808844 0.782098 0.039296
4.222400 0.317101 0.399580
4.222400 0.458201 -0.186981
5.160711 0.303653 1.566845
5.864444 -0.348039 -0.188824
5.864444 -0.981038 -0.002434
6.920044 -0.460215 0.561714
6.802755 -0.671191 0.712950
6.920044 -0.812194 1.048586
7.037333 -1.053882 1.557364
7.037333 -0.200316 1.239170
6.333600 -0.168997 0.341276
6.685467 -1.203244 0.830294
6.685467 -1.598624 0.768152
6.568178 -0.862332 0.285833
5.864444 -0.807931 -0.374327
5.747156 -1.463732 -0.135949
5.512578 0.127419 -0.806738
5.278000 -0.048209 -0.718021
5.278000 -0.029426 -1.180949
5.160711 0.093923 -0.447148
5.278000 -0.411900 -0.594074
5.395289 -0.659962 -1.282726
6.920044 -0.259110 0.915287
6.920044 -0.458476 0.781841
6.920044 -0.582848 0.995100
6.920044 -0.307370 1.169418
6.920044 -0.501484 1.055596
6.450889 -1.271032 -0.720520
6.450889 -1.576273 -0.321088
6.450889 -1.489272 0.981688
6.920044 0.338295 0.815580
4.222400 0.518964 0.961011
4.222400 0.670914 0.827124
4.222400 0.461833 0.792847
6.450889 -0.130283 0.147874
6.333600 -1.030836 0.336625
5.864444 -0.799596 0.060843
5.747156 -0.643247 -0.319605
4.105111 0.475591 1.192555
4.105111 0.484654 1.172048
5.747156 -0.274449 -0.583559
5.278000 0.031191 -0.499552
4.222400 2.368043 0.056499
4.222400 1.581740 -0.095821
4.222400 1.423208 0.335113
6.568178 -1.371424 1.087894
6.802755 -0.924908 1.043614
5.512578 -0.962505 -0.844262
6.450889 -0.128926 0.145324
5.629867 -0.697109 -0.655075
5.395289 -0.900338 -0.423954
5.278000 -0.527172 -0.924367
5.278000 -0.251437 -1.179248
5.278000 0.049881 -1.315210
5.278000 0.115545 -1.434010
5.160711 0.310566 -1.671899
5.278000 -0.589740 -1.064723
5.278000 -0.620296 -1.197103
5.278000 -0.840117 -1.198215
5.278000 0.482664 -1.353089
5.512578 -0.605702 -0.670138
6.450889 -1.224789 0.680658
6.450889 -1.381947 1.168009
6.802755 -0.514751 1.133330
6.920044 -0.511523 1.296555
6.802755 -0.085549 1.324537
6.920044 0.354322 0.812041
6.920044 0.444726 0.398434
6.568178 0.053762 0.894890
7.037333 -0.169936 1.345876
6.685467 -1.031718 0.740515
7.037333 -1.057430 1.151919
6.802755 -0.423024 1.267164
6.802755 -0.057139 0.241856
3.987822 1.049957 1.479842
7.037333 0.101041 0.143999
6.920044 -0.859774 0.675630
6.450889 0.017747 -0.299428
5.864444 -0.668403 -0.775952
5.512578 -1.019548 -1.445945
5.512578 -0.688987 -1.072651
6.216311 -0.578988 -0.639648
5.278000 -0.418871 -1.006934
5.278000 -0.354068 -0.977709
5.160711 0.777269 -1.336502
5.160711 0.665222 -1.503216
5.160711 0.786840 -1.171017
5.278000 0.445743 -1.017941
5.160711 0.577075 -0.942263
5.160711 0.849053 -0.558702
5.278000 -0.494149 0.057006
5.160711 0.266161 -0.885067
5.278000 -0.372680 -0.583455
5.043422 0.142420 -1.171986
4.222400 1.035878 -0.167116
4.222400 1.515182 0.042014
4.222400 0.881936 0.551254
4.222400 1.787050 0.263695
4.222400 2.522502 0.309677
4.222400 2.511020 0.332809
4.222400 1.945930 0.293263
4.222400 1.493037 -0.428819
4.222400 0.319160 0.213781
4.222400 1.316717 0.097803
4.926133 0.627171 -0.390595
5.278000 0.107266 -0.870203
5.278000 -0.069363 -0.661740
5.278000 -0.052886 -1.091705
5.512578 -0.839361 -0.706007
6.216311 -1.852167 -0.588338
5.278000 0.317346 -0.432423
5.278000 -0.461949 -1.301547
5.278000 -0.235229 -1.205205
5.864444 -0.842228 -0.616440
5.747156 -0.669900 -0.927188
5.043422 0.161971 -1.155764
5.160711 -0.626751 -1.570545
5.160711 0.043965 -1.151376
5.278000 0.310716 -1.419745
5.278000 0.111360 -0.955026
5.278000 0.239421 -1.059357
5.278000 0.717399 0.048137
5.981733 0.068059 -0.421786
5.747156 -0.396726 -0.656694
6.920044 -0.318262 0.254133
7.037333 -0.652876 0.692361
3.987822 1.234708 1.799717
4.926133 0.096549 -0.457250
5.981733 0.071175 -0.411343
5.864444 -0.991151 0.049932
6.450889 -1.090258 0.463978
6.920044 -0.988149 0.634208
7.037333 -0.480343 0.961970
6.450889 -0.891856 1.384982
6.450889 -0.826464 0.742336
6.802755 0.495294 1.141180
6.802755 0.222695 1.509753
6.920044 0.106620 1.571517
6.920044 -0.444260 1.542244
4.222400 1.673511 -0.150332
4.222400 1.712651 0.056133
4.574267 0.650621 -0.771337
5.160711 0.566119 -0.049804
5.981733 -1.083865 0.276762
5.864444 -0.379773 -0.800382
5.160711 0.086376 -0.483757
5.160711 0.401804 -0.596734
5.160711 0.571353 -1.011275
5.278000 0.268789 -1.799059
5.278000 -0.496305 -0.497625
5.278000 0.088498 -0.965211
4.691556 1.129503 -1.183897
