3 3924
6.685467 -0.426962 0.453187
6.685467 -0.690284 0.499768
5.629867 -1.009742 -0.048520
5.629867 -0.486647 -0.022050
5.747156 -0.098359 0.090281
5.629867 0.641844 0.387025
5.629867 0.924902 0.474584
5.747156 0.531701 0.928066
6.216311 -0.046998 0.899745
5.512578 -0.135198 0.437169
5.278000 -0.256610 -0.066482
5.160711 0.130888 -0.326980
5.160711 -0.037940 -1.047224
5.160711 -0.400471 -1.051345
5.160711 -0.133027 -0.729951
5.160711 0.080336 -0.943392
5.160711 0.462055 -1.143707
5.278000 0.431205 -0.643933
5.512578 0.208445 -1.007796
5.747156 -0.025696 -1.205932
5.864444 -0.996116 -0.916654
6.216311 -1.248402 0.137204
6.685467 -0.150792 0.336370
6.685467 -0.064101 0.147728
6.802755 0.408819 0.375583
6.802755 -0.090397 0.698217
6.568178 -0.781129 0.495876
6.450889 -0.655604 0.738011
6.333600 -0.909958 0.542661
6.333600 -0.828090 0.547293
6.333600 -0.763123 -0.321238
5.747156 -0.527429 -0.328713
5.747156 -0.526405 -0.503745
5.512578 -0.395206 -0.698734
5.512578 0.075447 -0.166325
4.339689 0.572951 -0.039318
5.160711 -0.140000 -0.801169
4.926133 0.101721 -0.436719
4.691556 0.593764 -0.043188
4.574267 0.574388 0.424493
4.574267 0.674137 0.666800
5.160711 0.440896 0.256905
5.512578 0.076367 -0.412146
5.512578 -0.730692 -0.737383
5.629867 -0.996358 -0.947572
6.216311 -0.453442 -0.496647
6.099022 -0.180004 -0.309266
5.395289 -0.056391 -0.458578
5.395289 -0.242410 -0.862086
5.278000 -0.074239 -1.354222
5.278000 -0.074611 -0.953795
5.278000 0.527727 -0.131827
5.278000 0.804864 -0.257335
5.278000 0.937457 -0.468759
5.160711 1.023332 -0.486450
5.160711 0.849005 -0.362024
5.160711 0.557459 -0.219277
5.160711 0.721536 -0.167042
4.574267 0.477788 -0.083190
4.574267 0.708442 0.232599
4.691556 0.744592 0.111243
4.808844 0.796556 0.029058
5.043422 0.947934 -0.352516
5.160711 0.904313 -0.576475
5.278000 0.695986 -0.963855
5.395289 -0.150675 -0.814295
5.629867 -1.173710 -0.320976
5.864444 -1.254060 0.138613
5.864444 -1.031470 -0.281916
6.450889 -0.971311 -0.473695
6.450889 -0.808564 -0.621514
6.450889 -1.021179 0.206859
6.568178 -0.714268 -0.232164
6.568178 -0.476053 -0.531822
6.920044 -0.250976 -0.100518
5.512578 -0.703028 0.706074
5.864444 -0.393646 0.503877
6.568178 -0.104992 -0.140352
6.920044 0.221651 0.121097
5.043422 0.496811 0.326726
5.160711 0.412561 0.306625
5.629867 -0.995039 -0.235099
5.981733 -0.463312 1.022319
5.512578 -1.016832 -0.250539
5.629867 -0.295756 -0.696019
5.512578 -0.098857 -0.948982
5.395289 -0.116414 -1.143186
5.395289 0.021056 -1.109678
5.278000 -0.205958 -1.122088
5.278000 -0.071633 -0.731739
5.278000 0.260567 -0.832053
5.278000 0.315945 -0.497988
5.160711 0.365127 -0.840798
5.160711 0.678199 -1.087543
4.808844 0.791134 -0.459998
5.043422 0.847308 -0.499198
4.808844 0.648474 -0.829312
4.808844 0.662848 -0.426542
4.808844 0.684103 -0.692984
4.926133 -0.120949 -0.989767
4.926133 -0.443265 -0.387362
4.926133 -0.104641 -0.018501
5.043422 0.154692 -0.006633
5.043422 0.279575 -0.028018
5.043422 0.662550 -0.085545
5.043422 1.027188 -0.336430
5.043422 0.314846 -0.640000
5.043422 0.010738 -0.125122
5.160711 0.209270 -0.188870
5.160711 1.045538 -0.076243
5.278000 0.012269 -1.194578
5.278000 -0.427019 -0.595591
5.278000 -0.886005 -0.508930
5.278000 -1.124900 -0.432334
5.278000 -0.663317 -0.397010
5.278000 -0.240702 -0.798883
5.278000 0.158580 -1.205583
5.278000 -0.214982 -0.985566
5.864444 -0.227147 -0.159973
6.450889 -0.076565 0.357057
6.685467 -0.485987 0.437031
5.160711 -0.537664 1.199810
5.160711 0.400892 0.191905
5.278000 0.206997 -1.044501
5.278000 0.271204 -1.237213
5.278000 1.015284 -0.784530
4.574267 -0.101923 -0.353371
4.691556 -0.744948 -0.372377
5.160711 -0.938656 -0.470977
6.568178 -0.409213 -0.624267
6.685467 -0.429820 -0.124494
6.920044 -0.133579 0.232215
6.920044 -0.386290 0.073064
5.747156 -1.017667 0.374207
5.629867 -0.500296 -0.245110
5.512578 -0.104163 -1.016468
5.278000 -0.093881 -1.338594
5.278000 0.539876 -1.113288
5.278000 0.634988 -0.855031
5.278000 0.309539 -0.803120
5.278000 -0.001106 -0.941958
5.278000 -0.251024 -1.323296
5.160711 0.106017 -0.744949
4.691556 -0.095380 0.186967
5.043422 0.675375 -1.061241
5.160711 0.396423 -0.402352
5.160711 0.770167 -0.096428
5.160711 0.371879 -0.281239
6.333600 -0.359545 -0.299828
6.333600 -0.714584 0.159088
6.333600 -0.132835 1.119582
6.568178 -0.323766 0.456996
6.568178 -0.798507 0.007386
6.568178 -0.793798 0.097554
6.920044 0.145213 0.216985
6.920044 0.174095 -0.168933
4.456978 0.127441 -0.792238
4.456978 0.131665 -0.583900
4.456978 0.552598 -0.351388
4.456978 0.315797 -0.695017
4.456978 0.260498 -0.434008
4.926133 -0.087871 0.362968
6.685467 -0.119078 0.295272
6.333600 -0.217016 0.049949
6.333600 -0.688259 -0.050002
6.450889 -0.946193 0.130701
6.333600 -0.464784 0.287330
6.568178 0.158664 -0.118766
6.685467 -0.497997 -0.051322
5.747156 0.246441 0.977759
5.278000 -0.350735 0.703831
5.278000 -0.539537 0.318516
5.278000 -0.621328 -0.383054
5.160711 -0.266363 -0.628029
5.160711 0.061068 -0.508587
6.333600 -0.288554 0.605388
6.568178 0.003556 -0.451735
6.685467 -0.303137 -0.757865
6.920044 -0.250674 0.296561
6.920044 -0.262174 0.231222
4.926133 -0.202339 0.308866
4.926133 0.171814 0.293393
4.926133 0.798108 0.478281
4.691556 0.430446 -0.736888
4.926133 0.056129 -0.324147
5.160711 0.230814 -0.764592
5.278000 0.311670 -1.100600
5.395289 -0.164089 -1.323271
5.864444 -0.951601 -0.674502
6.568178 -0.573715 -0.617570
