3 831
0.255600 0.403074 1.198605
0.281847 0.446865 1.171473
0.311147 0.495858 1.147571
0.343867 0.550618 1.127360
0.380408 0.611748 1.111422
0.407105 0.656352 1.103522
-0.115522 -0.389240 2.627772
-0.141024 -0.390381 2.575427
-0.164723 -0.392811 2.524802
-0.186875 -0.396593 2.475839
-0.207720 -0.401777 2.428492
-0.227484 -0.408406 2.382730
-0.255563 -0.421134 2.317011
-0.282345 -0.437300 2.254781
-0.308430 -0.457009 2.196056
-0.334364 -0.480372 2.140905
-0.360645 -0.507513 2.089443
-0.387734 -0.538571 2.041839
-0.416058 -0.573705 1.998318
-0.446017 -0.613085 1.959168
-0.477990 -0.656892 1.924745
-0.512335 -0.705309 1.895488
-0.549394 -0.758505 1.871922
-0.589490 -0.816623 1.854672
-0.618057 -0.858150 1.847038
-0.648193 -0.901915 1.842781
-0.679972 -0.947906 1.842170
-0.713465 -0.996086 1.845498
-0.748728 -1.046386 1.853084
-0.785809 -1.098695 1.865268
-0.824738 -1.152860 1.882409
-0.865529 -1.208671 1.904884
-0.908171 -1.265851 1.933080
-0.952629 -1.324054 1.967389
-0.518514 -0.067333 3.035423
-0.484731 -0.070780 2.973506
-0.453919 -0.075727 2.912881
-0.425970 -0.081927 2.853555
-0.400765 -0.089171 2.795524
-0.378178 -0.097288 2.738777
-0.358076 -0.106137 2.683299
-0.340330 -0.115611 2.629072
-0.324808 -0.125623 2.576077
-0.311385 -0.136114 2.524295
-0.299939 -0.147043 2.473708
-0.290356 -0.158388 2.424302
-0.282529 -0.170142 2.376062
-0.273868 -0.188555 2.305865
-0.268641 -0.207977 2.238240
-0.266599 -0.228528 2.173176
-0.267538 -0.250370 2.110676
-0.271301 -0.273702 2.050763
-0.277778 -0.298751 1.993479
-0.286900 -0.325775 1.938891
-0.298644 -0.355054 1.887092
-0.313025 -0.386895 1.838206
-0.330100 -0.421626 1.792398
-0.349961 -0.459599 1.749876
-0.372739 -0.501183 1.710903
-0.398598 -0.546766 1.675807
-0.427735 -0.596746 1.644991
-0.460376 -0.651528 1.618952
-0.496774 -0.711507 1.598290
-0.523262 -0.754566 1.587855
-0.551628 -0.800201 1.580380
-0.581957 -0.848500 1.576143
-0.614337 -0.899530 1.575460
-0.648854 -0.953336 1.578677
-0.685590 -1.009931 1.586179
-0.724618 -1.069290 1.598391
-0.766004 -1.131337 1.615771
-0.809797 -1.195935 1.638817
-0.856029 -1.262874 1.668058
-0.904707 -1.331856 1.704051
-0.955805 -1.402481 1.747371
-0.982244 -1.438253 1.771959
-1.009261 -1.474229 1.798595
-0.433158 0.109349 3.111122
-0.390298 0.107064 3.042676
-0.351000 0.103385 2.976021
-0.315097 0.098664 2.911108
-0.282406 0.093195 2.847876
-0.252735 0.087223 2.786260
-0.225887 0.080948 2.726196
-0.201664 0.074533 2.667617
-0.179871 0.068105 2.610463
-0.160317 0.061766 2.554675
-0.142820 0.055591 2.500198
-0.127202 0.049635 2.446983
-0.113300 0.043937 2.394984
-0.100957 0.038522 2.344157
-0.090027 0.033403 2.294464
-0.075991 0.026286 2.221973
-0.064421 0.019825 2.151845
-0.054957 0.013981 2.083983
-0.047283 0.008695 2.018297
-0.041131 0.003899 1.954708
-0.036268 -0.000480 1.893142
-0.032499 -0.004518 1.833528
-0.029663 -0.008289 1.775802
-0.027622 -0.011867 1.719903
-0.026268 -0.015322 1.665771
-0.025512 -0.018725 1.613351
-0.025282 -0.022140 1.562590
-0.025706 -0.026829 1.497398
-0.026886 -0.031810 1.434948
-0.028774 -0.037240 1.375129
-0.031354 -0.043278 1.317840
-0.034643 -0.050097 1.262985
-0.038684 -0.057885 1.210475
-0.043549 -0.066852 1.160230
0.456269 0.422673 2.321996
0.461527 0.453348 2.267547
0.470333 0.486491 2.216483
0.482618 0.522293 2.169016
0.498347 0.560967 2.125400
0.517519 0.602740 2.085937
0.540161 0.647839 2.050985
0.566327 0.696484 2.020965
0.596093 0.748875 1.996370
0.629549 0.805174 1.977773
0.368415 0.263718 2.413233
0.362441 0.286114 2.346563
0.360157 0.310147 2.282668
0.361365 0.335949 2.221607
0.365911 0.363692 2.163462
