3 2891
0.255600 0.403074 1.198605
0.281847 0.446865 1.171473
0.311147 0.495858 1.147571
0.343867 0.550618 1.127360
0.380408 0.611748 1.111422
0.407105 0.656352 1.103522
0.435831 0.704256 1.098099
0.466730 0.755650 1.095451
0.499950 0.810717 1.095921
0.535646 0.869630 1.099903
0.573973 0.932542 1.107845
0.615087 0.999578 1.120259
0.659143 1.070825 1.137721
0.706287 1.146315 1.160880
0.756656 1.226009 1.190459
0.783087 1.267396 1.207901
0.810366 1.309777 1.227254
0.838505 1.353117 1.248627
0.867512 1.397372 1.272136
0.897392 1.442489 1.297901
0.928149 1.488403 1.326043
0.959783 1.535037 1.356688
0.992290 1.582301 1.389963
1.025660 1.630092 1.425996
1.059883 1.678290 1.464917
1.094939 1.726759 1.506853
1.130805 1.775344 1.551928
1.167450 1.823875 1.600263
1.204837 1.872160 1.651973
1.242921 1.919985 1.707163
1.281649 1.967119 1.765929
1.320959 2.013308 1.828351
1.360779 2.058275 1.894494
1.401029 2.101725 1.964404
1.441614 2.143341 2.038102
1.482434 2.182786 2.115583
1.523371 2.219708 2.196814
1.564301 2.253737 2.281724
1.605084 2.284494 2.370207
1.645571 2.311588 2.462116
1.685599 2.334627 2.557260
1.724995 2.353218 2.655399
1.763575 2.366976 2.756247
1.801144 2.375528 2.859466
1.837501 2.378523 2.964669
1.872434 2.375635 3.071415
1.905730 2.366578 3.179218
1.937167 2.351105 3.287546
1.966527 2.329022 3.395824
1.993590 2.300196 3.503444
2.018140 2.264555 3.609769
2.039969 2.222101 3.714142
2.058879 2.172910 3.815897
2.074684 2.117137 3.914367
2.087215 2.055016 4.008901
2.096322 1.986861 4.098868
2.101875 1.913062 4.183674
2.103771 1.834079 4.262771
2.101930 1.750440 4.335671
2.096304 1.662725 4.401948
2.086871 1.571566 4.461255
2.073641 1.477625 4.513321
2.056652 1.381590 4.557963
2.035974 1.284160 4.595081
2.011704 1.186030 4.624662
1.983967 1.087881 4.646775
1.952914 0.990370 4.661569
1.918717 0.894118 4.669264
1.881569 0.799699 4.670145
1.841681 0.707637 4.664553
1.799276 0.618397 4.652876
1.754590 0.532384 4.635538
1.707866 0.449939 4.612989
1.659351 0.371340 4.585698
1.609292 0.296800 4.554140
1.557937 0.226474 4.518792
1.505528 0.160458 4.480122
1.452303 0.098797 4.438584
1.398489 0.041487 4.394613
1.344303 -0.011519 4.348620
1.289954 -0.060303 4.300990
1.235633 -0.104982 4.252079
1.181523 -0.145697 4.202210
1.127789 -0.182611 4.151679
1.074583 -0.215904 4.100749
1.022044 -0.245767 4.049652
0.970296 -0.272400 3.998594
0.919447 -0.296007 3.947752
0.869595 -0.316795 3.897275
0.820822 -0.334968 3.847293
0.773199 -0.350730 3.797909
0.726785 -0.364276 3.749211
0.681627 -0.375797 3.701267
0.637765 -0.385477 3.654128
0.595225 -0.393491 3.607834
0.554027 -0.400005 3.562412
0.514183 -0.405176 3.517878
0.475695 -0.409152 3.474240
0.438563 -0.412071 3.431498
0.402776 -0.414062 3.389646
0.368322 -0.415245 3.348674
0.335182 -0.415732 3.308566
0.303333 -0.415625 3.269306
0.243402 -0.414002 3.193241
-0.351817 -0.498038 2.106177
-0.378587 -0.527774 2.057266
-0.406454 -0.561531 2.012355
-0.435825 -0.599476 1.971712
-0.467086 -0.641787 1.935669
-0.500602 -0.688647 1.904636
-0.536719 -0.740232 1.879109
-0.575768 -0.796696 1.859678
-0.618057 -0.858150 1.847038
-0.648193 -0.901915 1.842781
-0.679972 -0.947906 1.842170
-0.713465 -0.996086 1.845498
-0.748728 -1.046386 1.853084
-0.785809 -1.098695 1.865268
-0.824738 -1.152860 1.882409
-0.865529 -1.208671 1.904884
-0.908171 -1.265851 1.933080
-0.952629 -1.324054 1.967389
-0.998833 -1.382847 2.008195
-1.046680 -1.441708 2.055861
-1.096021 -1.500012 2.110718
-1.146661 -1.557033 2.173037
-1.172392 -1.584805 2.207060
-1.198351 -1.611934 2.243014
-1.224495 -1.638299 2.280907
-1.250780 -1.663773 2.320739
-1.277159 -1.688223 2.362500
-1.303577 -1.711511 2.406169
-1.329979 -1.733495 2.451717
