3 4877
0.849478 1.885171 -0.658588
0.837860 1.876390 -0.587349
0.833009 1.865590 -0.514615
0.836955 1.851673 -0.441238
0.851207 1.835505 -0.368322
0.875518 1.818831 -0.297098
0.908360 1.802779 -0.228687
0.947948 1.787101 -0.163970
0.991497 1.772059 -0.103496
1.035961 1.759185 -0.047413
1.079015 1.749178 0.004466
1.118729 1.742312 0.052625
1.153852 1.740919 0.097714
1.184114 1.746480 0.140325
1.221477 1.766556 0.200716
1.251525 1.794470 0.258404
1.277034 1.825536 0.314449
1.303894 1.855361 0.368705
1.339490 1.880521 0.419743
1.385854 1.901314 0.465025
1.440893 1.911364 0.501990
1.504760 1.908621 0.528385
1.553803 1.901513 0.538930
1.608052 1.886833 0.543078
1.666447 1.858660 0.540552
1.728820 1.815972 0.531417
1.794999 1.758416 0.515898
1.863189 1.684682 0.494554
1.897202 1.641793 0.482025
1.930864 1.595023 0.468492
1.964080 1.544339 0.454147
1.996777 1.489678 0.439186
2.028809 1.431074 0.423810
2.059828 1.368594 0.408225
2.089287 1.302247 0.392659
2.116705 1.232083 0.377370
2.141861 1.158271 0.362661
2.164575 1.081059 0.348885
2.184471 1.000710 0.336439
2.201097 0.917484 0.325713
2.214155 0.831717 0.317038
2.223624 0.743815 0.310647
2.229784 0.654158 0.306670
2.233064 0.563043 0.305164
2.233728 0.470747 0.306146
2.231740 0.377595 0.309610
2.226867 0.283976 0.315525
2.218869 0.190315 0.323829
2.207575 0.097042 0.334419
2.192542 0.004571 0.347159
2.172941 -0.086687 0.361878
2.148116 -0.176305 0.378376
2.117897 -0.263854 0.396420
2.018705 0.581703 1.316980
2.049251 0.638703 1.329155
2.080089 0.692998 1.335200
2.110232 0.743480 1.333196
2.137751 0.788725 1.322635
2.173816 0.843193 1.292383
2.206079 0.876478 1.245552
2.230469 0.883159 1.184067
2.236262 0.859188 1.114104
2.226069 0.825215 1.065776
2.203727 0.777141 1.018633
2.165924 0.716202 0.975973
2.108511 0.644450 0.940476
2.071260 0.605420 0.925639
2.027726 0.564839 0.912680
1.977712 0.523075 0.901596
1.921285 0.480494 0.892470
1.858570 0.437548 0.885440
1.789529 0.394782 0.880634
1.714024 0.352776 0.878109
1.632017 0.312088 0.877817
1.543663 0.273230 0.879597
1.449295 0.236678 0.883203
1.349359 0.202885 0.888346
1.244336 0.172283 0.894737
1.134625 0.145272 0.902119
1.020499 0.122224 0.910279
0.902218 0.103474 0.919054
0.780200 0.089311 0.928311
0.655091 0.079961 0.937939
0.527684 0.075569 0.947836
0.398808 0.076196 0.957917
0.269289 0.081820 0.968127
0.139976 0.092331 0.978464
0.011753 0.107527 0.988992
-0.114478 0.127102 0.999842
-0.237814 0.150643 1.011196
-0.357397 0.177638 1.023263
-0.472459 0.207487 1.036271
-0.582371 0.239519 1.050460
-0.686630 0.273011 1.066062
-0.784802 0.307196 1.083279
-0.876480 0.341282 1.102244
-0.961295 0.374469 1.123016
-0.680045 0.005998 1.645088
-0.583545 -0.018011 1.650585
-0.483447 -0.036148 1.655491
-0.380586 -0.047849 1.659886
-0.275793 -0.052658 1.663851
-0.169891 -0.050225 1.667487
-0.063700 -0.040299 1.670936
0.041955 -0.022738 1.674375
0.146250 0.002485 1.677977
0.248406 0.035282 1.681861
0.347707 0.075455 1.686056
0.443508 0.122703 1.690507
0.535236 0.176634 1.695134
0.622415 0.236774 1.699865
0.704676 0.302585 1.704588
0.781738 0.373489 1.709066
0.853399 0.448886 1.712873
0.919547 0.528171 1.715441
0.980158 0.610747 1.716214
1.035271 0.696024 1.714770
1.084964 0.783416 1.710853
1.129346 0.872328 1.704347
1.168558 0.962152 1.695239
1.202783 1.052292 1.683573
1.232247 1.142184 1.669390
1.257215 1.231306 1.652690
1.277977 1.319186 1.633425
1.294840 1.405398 1.611467
1.308125 1.489565 1.586613
1.318163 1.571353 1.558667
1.325287 1.650469 1.527468
1.329830 1.726657 1.492806
1.332117 1.799694 1.454389
1.332472 1.869391 1.411996
1.331205 1.935603 1.365656
1.328609 1.998237 1.315690
1.324940 2.057278 1.262596
1.320419 2.112802 1.206843
1.315241 2.164989 1.148721
1.309564 2.214100 1.088351
1.303503 2.260422 1.025845
1.997532 1.166842 -0.447689
2.006254 1.111962 -0.446471
2.013315 1.054469 -0.444371
2.018435 0.994394 -0.441271
2.021422 0.931775 -0.437049
2.022123 0.866684 -0.431596
2.020371 0.799166 -0.424816
2.015937 0.729183 -0.416623
2.008296 0.656675 -0.406938
1.996707 0.581708 -0.395687
1.980710 0.504557 -0.382804
1.960247 0.425668 -0.368249
1.935337 0.345568 -0.352016
1.905736 0.264790 -0.334135
1.870914 0.183851 -0.314667
1.830352 0.103273 -0.293713
1.783916 0.023601 -0.271416
1.731959 -0.054601 -0.247966
1.675101 -0.130770 -0.223592
1.613861 -0.204381 -0.198560
1.548417 -0.274950 -0.173156
1.478626 -0.342035 -0.147688
1.404130 -0.405214 -0.122475
1.324527 -0.464069 -0.097850
1.239646 -0.518177 -0.074149
1.149661 -0.567131 -0.051707
1.054979 -0.610545 -0.030843
0.956092 -0.648073 -0.011846
0.853546 -0.679402 0.005036
0.747981 -0.704240 0.019605
0.640119 -0.722321 0.031728
0.530651 -0.733437 0.041346
0.420130 -0.737457 0.048473
0.309025 -0.734301 0.053208
0.197868 -0.723926 0.055726
0.087350 -0.706337 0.056286
-0.021690 -0.681607 0.055226
-0.128370 -0.649898 0.052960
-0.231867 -0.611461 0.049965
2.265985 -0.239301 0.469528
2.266218 -0.152384 0.515795
2.267964 -0.061509 0.552831
2.268078 0.030949 0.581365
2.265808 0.122549 0.602330
2.263298 0.210856 0.616803
2.262754 0.293534 0.625902
2.263476 0.368354 0.630716
2.264934 0.433214 0.632293
2.267914 0.486211 0.631582
2.271347 0.539833 0.628103
2.214790 0.394833 0.634456
