3 8518
1.023707 1.997825 -1.027552
0.995096 1.952897 -1.017874
0.967644 1.938391 -0.974506
0.933797 1.922988 -0.908328
0.909824 1.912094 -0.853919
0.886754 1.902537 -0.793126
0.866192 1.893725 -0.727540
0.849478 1.885171 -0.658588
0.837860 1.876390 -0.587349
0.833009 1.865590 -0.514615
0.836955 1.851673 -0.441238
0.851207 1.835505 -0.368322
0.875518 1.818831 -0.297098
0.908360 1.802779 -0.228687
0.947948 1.787101 -0.163970
0.991497 1.772059 -0.103496
1.035961 1.759185 -0.047413
1.079015 1.749178 0.004466
1.118729 1.742312 0.052625
1.153852 1.740919 0.097714
1.184114 1.746480 0.140325
1.221477 1.766556 0.200716
1.251525 1.794470 0.258404
1.277034 1.825536 0.314449
1.303894 1.855361 0.368705
1.339490 1.880521 0.419743
1.385854 1.901314 0.465025
1.440893 1.911364 0.501990
1.504760 1.908621 0.528385
1.553803 1.901513 0.538930
1.608052 1.886833 0.543078
1.666447 1.858660 0.540552
1.728820 1.815972 0.531417
1.794999 1.758416 0.515898
1.863189 1.684682 0.494554
1.897202 1.641793 0.482025
1.930864 1.595023 0.468492
1.964080 1.544339 0.454147
1.996777 1.489678 0.439186
2.028809 1.431074 0.423810
2.059828 1.368594 0.408225
2.089287 1.302247 0.392659
2.116705 1.232083 0.377370
2.141861 1.158271 0.362661
2.164575 1.081059 0.348885
2.184471 1.000710 0.336439
-0.897330 1.069382 1.436601
-0.881022 1.074360 1.516329
-0.865073 1.076569 1.594165
-0.849480 1.076197 1.669884
-0.834224 1.073432 1.743302
-0.819273 1.068459 1.814233
-0.804587 1.061469 1.882457
-0.790126 1.052660 1.947734
-0.775851 1.042239 2.009861
-0.761731 1.030414 2.068728
-0.747736 1.017392 2.124322
-0.733846 1.003375 2.176720
-0.720041 0.988545 2.226077
-0.706305 0.973062 2.272636
-0.678970 0.940585 2.358713
-0.651639 0.906472 2.437813
-0.624012 0.871072 2.511227
-0.595720 0.834664 2.578947
